code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
VINO11,Lajes Corporativas,"R$ 40,07",18202.0,"R$ 0,31","0,80%","2,24%","-8,19%","0,73","4,20%",N/A
VISC11,Shoppings,"R$ 104,62",15665.0,"R$ 0,82","0,81%","2,35%","-1,62%","0,84","8,30%",N/A
VIUR11,Títulos e Val. Mob.,"R$ 6,35",65928.0,"R$ 0,07","1,19%","3,33%","-7,23%","0,70","0,00%",N/A
VJFD11,Híbrido,N/A,N/A,"R$ 1,02","0,00%",N/A,"0,00%",N/A,N/A,N/A
VLOL11,Lajes Corporativas,"R$ 94,01",1561.0,"R$ 0,10","0,11%","1,38%","-2,64%","0,84","0,00%",N/A
VOTS11,Títulos e Val. Mob.,"R$ 85,28",83.0,"R$ 1,16","1,36%","3,97%","4,52%","0,91",N/A,N/A
VRTA11,Títulos e Val. Mob.,"R$ 81,67",29688.0,"R$ 0,95","1,14%","3,34%","-6,74%","0,90",N/A,N/A
VSHO11,Shoppings,"R$ 63,56",521.0,"R$ 0,69","1,12%","3,15%","-3,37%","0,63","12,96%",N/A
VSLH11,Outros,"R$ 4,84",139649.0,"R$ 0,03","0,61%","2,89%","-35,39%","0,46",N/A,N/A
VTLT11,Logística,"R$ 90,28",1047.0,"R$ 0,88","1,00%","2,95%","-0,32%","0,89","0,00%","0,00%"
VVPR11,Híbrido,"R$ 101,50",2211.0,"R$ 0,89","0,88%","6,57%","2,01%","1,04","0,00%",N/A
VXXV11,Outros,"R$ 1.001,00",13200.0,"R$ 10,76",N/A,N/A,N/A,"1,01",N/A,N/A
WPLZ11,Shoppings,"R$ 62,99",30.0,"R$ 0,45","0,71%","1,96%","-7,09%","0,72","11,00%",N/A
WTSP11B,Híbrido,"R$ 34,90",1.0,"R$ 0,23","0,62%","1,19%","6,02%","0,48",N/A,N/A
XPCA11,Títulos e Val. Mob.,"R$ 9,78",118002.0,"R$ 0,15","1,54%","4,16%","-2,41%","1,03",N/A,N/A
XPCI11,Outros,"R$ 79,83",13246.0,"R$ 0,95","1,17%","3,64%","1,63%","0,88",N/A,N/A
XPCM11,Lajes Corporativas,"R$ 12,54",3204.0,"R$ 0,10","0,79%","2,28%","-14,05%","0,29","100,00%",N/A
XPHT11,Hotel,"R$ 105,63",528.0,"R$ 1,10","1,11%","3,28%","-5,61%","1,12","64,90%",N/A
XPID11,Renda,"R$ 82,70",6214.0,"R$ 0,45","0,53%","0,53%","0,00%",N/A,N/A,N/A
XPIN11,Outros,"R$ 69,85",5883.0,"R$ 0,65","0,94%","1,86%","-2,24%","0,67","17,30%","12,00%"
XPLG11,Logística,"R$ 94,34",29911.0,"R$ 0,74","0,79%","2,39%","-0,35%","0,83","8,80%","1,20%"
