code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
HTMX11,Hotel,"R$ 106,90",3332.0,"R$ 0,63","0,61%","1,85%","-2,25%","0,76","65,00%",N/A
HUSC11,Outros,"R$ 102,00",1.0,"R$ 0,86","0,82%","2,48%","2,25%","0,70",N/A,N/A
HUSI11,Hospital,"R$ 1.137,61",1.0,"R$ 8,06","0,71%","2,94%","0,00%","1,02",N/A,N/A
IBCR11,Títulos e Val. Mob.,"R$ 70,01",7288.0,"R$ 0,80","1,14%","3,66%","-7,46%","0,73",N/A,N/A
IBFF11,Títulos e Val. Mob.,"R$ 66,40",1924.0,"R$ 0,30","0,44%","5,42%","7,50%","4,49",N/A,N/A
IDFI11,Híbrido,"R$ 49,98",101.0,"R$ 0,56","1,12%","2,25%","-7,95%","0,90",N/A,N/A
IFRA11,Renda,"R$ 93,91",10313.0,"R$ 0,87","0,91%","0,91%","0,00%",N/A,N/A,N/A
IRDM11,Títulos e Val. Mob.,"R$ 78,25",88447.0,"R$ 0,91","1,16%","3,28%","-9,12%","0,84",N/A,N/A
IRIM11,Híbrido,"R$ 84,48",606.0,"R$ 1,03","1,23%","3,49%","-5,27%","0,87",N/A,N/A
ITIP11,Títulos e Val. Mob.,"R$ 71,47",489.0,"R$ 0,81","1,12%","3,36%","-5,59%","0,91",N/A,N/A
ITIT11,Títulos e Val. Mob.,"R$ 72,46",885.0,"R$ 0,56","0,76%","2,40%","-1,95%","0,97",N/A,N/A
JFLL11,Residencial,"R$ 60,24",245.0,"R$ 0,63","1,09%","3,17%","-3,27%","0,60","28,00%",N/A
JGPX11,Híbrido,"R$ 95,82",1744.0,"R$ 1,40","1,47%","4,00%","-1,14%","1,00",N/A,N/A
JPPA11,Títulos e Val. Mob.,"R$ 90,95",6219.0,"R$ 1,40","1,44%","4,14%","-5,10%","0,93",N/A,N/A
JRDM11,Shoppings,"R$ 77,50",1241.0,"R$ 0,59","0,72%","0,72%","0,00%","0,87","2,77%",N/A
JSAF11,Títulos e Val. Mob.,"R$ 81,36",5346.0,"R$ 0,93","1,18%","3,50%","-1,23%","0,89",N/A,N/A
JSRE11,Híbrido,"R$ 61,77",21939.0,"R$ 0,46","0,74%","2,19%","-8,28%","0,55","14,80%","13,40%"
JURO11,Renda,"R$ 99,44",11841.0,"R$ 0,50","0,00%",N/A,"0,00%",N/A,N/A,N/A
KCRE11,Renda,"R$ 89,33",3004.0,"R$ 1,35","1,52%","3,65%","-4,97%","0,91",N/A,N/A
KDIF11,Renda,"R$ 125,21",9986.0,"R$ 1,45","1,15%","1,15%","0,00%",N/A,N/A,N/A
KEVE11,Residencial,"R$ 999,98",127.0,"R$ 3,05","0,32%","0,32%","0,00%","1,08",N/A,N/A
KFOF11,Títulos e Val. Mob.,"R$ 74,30",12222.0,"R$ 0,72","0,93%","2,79%","-0,54%","0,85",N/A,N/A
KINP11,Residencial,"R$ 9,82",9168.0,"R$ 0,20","1,91%","5,02%","14,11%","2,65",N/A,N/A
KISU11,Títulos e Val. Mob.,"R$ 7,58",90225.0,"R$ 0,07","0,91%","2,78%","-3,27%","0,91",N/A,N/A
KNCA11,Títulos e Val. Mob.,"R$ 103,40",15289.0,"R$ 1,40","1,35%","3,54%","-2,72%","1,02",N/A,N/A
